项目名称,Stars数量,Forks数量,未解决Issue数,项目链接,项目描述
public-apis,436256,47823,1361,https://github.com/public-apis/public-apis,A collective list of free APIs
free-programming-books,388678,66334,80,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books
system-design-primer,349665,56329,546,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
awesome-python,298842,27941,18,https://github.com/vinta/awesome-python,"An opinionated list of Python frameworks, libraries, tools, and resources"
Python,221278,50661,919,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python
AutoGPT,184441,46225,427,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
yt-dlp,163612,13750,2515,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader
stable-diffusion-webui,163194,30351,2486,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI
hermes-agent,161028,26173,12745,https://github.com/NousResearch/hermes-agent,The agent that grows with you
transformers,160841,33288,2374,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
HelloGitHub,157975,12028,384,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
langflow,148605,9079,929,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
youtube-dl,140349,10672,4124,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites
skills,138714,16356,864,https://github.com/anthropics/skills,Public repository for Agent Skills
open-webui,138084,19751,273,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
langchain,137295,22710,583,https://github.com/langchain-ai/langchain,The agent engineering platform.
markitdown,124323,8450,661,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.
ComfyUI,113847,13329,4034,https://github.com/Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
awesome-llm-apps,111348,16533,12,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agent & RAG apps you can actually run — clone, customize, ship."
spec-kit,104413,9195,424,https://github.com/github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development
DeepSeek-V3,103573,16741,216,https://github.com/deepseek-ai/DeepSeek-V3,该项目暂无描述
pytorch,100056,27841,18497,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration
whisper,99953,12240,123,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision
fastapi,98401,9324,185,https://github.com/fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
thefuck,97027,3955,436,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.
browser-use,94976,10705,224,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
Deep-Live-Cam,93256,13575,119,https://github.com/hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image
django,87514,33933,443,https://github.com/django/django,The Web framework for perfectionists with deadlines.
core,87171,37544,4231,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.
manim,87022,7293,494,https://github.com/3b1b/manim,Animation engine for explanatory math videos
